"YEAR","state","incidence"
"1980","ALASKA","1.44"
"1981","ALASKA","0.0"
"1982","ALASKA","0.2"
"1983","ALASKA","0.0"
"1984","ALASKA","0.0"
"1985","ALASKA","0.0"
"1986","ALASKA","0.0"
"1987","ALASKA","0.0"
"1988","ALASKA","0.18"
"1989","ALASKA","0.0"
"1990","ALASKA","4.86"
"1991","ALASKA","0.18"
"1992","ALASKA","0.68"
"1993","ALASKA","0.0"
"1994","ALASKA","2.67"
"1995","ALASKA","0.0"
"1996","ALASKA","11.16"
"1997","ALASKA","0.16"
"1998","ALASKA","2.58"
"1999","ALASKA","0.0"
"2000","ALASKA","0.16"
"2001","ALASKA","0.0"
"2002","ALASKA","0.0"
"2003","ALASKA","0.0"
"1928","ARIZONA","200.75"
"1929","ARIZONA","54.88"
"1930","ARIZONA","466.31"
"1931","ARIZONA","497.69"
"1932","ARIZONA","20.11"
"1933","ARIZONA","296.01"
"1934","ARIZONA","238.81"
"1935","ARIZONA","135.02"
"1936","ARIZONA","525.5"
"1937","ARIZONA","837.3"
"1938","ARIZONA","149.34"
"1939","ARIZONA","144.02"
"1940","ARIZONA","339.06"
"1941","ARIZONA","615.29"
"1942","ARIZONA","740.83"
"1943","ARIZONA","172.44"
"1944","ARIZONA","736.71"
"1945","ARIZONA","93.74"
"1946","ARIZONA","498.69"
"1947","ARIZONA","224.49"
"1948","ARIZONA","623.38"
"1949","ARIZONA","531.46"
"1950","ARIZONA","315.95"
"1951","ARIZONA","1351.49"
"1952","ARIZONA","424.59"
"1953","ARIZONA","557.91"
"1954","ARIZONA","531.51"
"1955","ARIZONA","1024.03"
"1956","ARIZONA","644.32"
"1957","ARIZONA","700.97"
"1958","ARIZONA","825.18"
"1959","ARIZONA","719.02"
"1960","ARIZONA","325.91"
"1961","ARIZONA","559.22"
"1962","ARIZONA","431.74"
"1963","ARIZONA","583.67"
"1964","ARIZONA","405.54"
"1965","ARIZONA","100.6"
"1966","ARIZONA","336.9"
"1967","ARIZONA","62.08"
"1968","ARIZONA","14.61"
"1969","ARIZONA","31.21"
"1970","ARIZONA","53.05"
"1971","ARIZONA","25.39"
"1972","ARIZONA","40.83"
"1973","ARIZONA","1.12"
"1974","ARIZONA","0.89"
"1975","ARIZONA","3.53"
"1976","ARIZONA","10.0"
"1977","ARIZONA","8.71"
"1978","ARIZONA","2.52"
"1979","ARIZONA","3.25"
"1980","ARIZONA","11.63"
"1981","ARIZONA","0.36"
"1982","ARIZONA","0.53"
"1983","ARIZONA","0.0"
"1984","ARIZONA","0.0"
"1985","ARIZONA","7.49"
"1986","ARIZONA","7.45"
"1987","ARIZONA","1.0"
"1988","ARIZONA","0.08"
"1989","ARIZONA","3.96"
"1990","ARIZONA","7.72"
"1991","ARIZONA","9.04"
"1992","ARIZONA","0.0"
"1993","ARIZONA","0.06"
"1994","ARIZONA","0.2"
"1995","ARIZONA","0.27"
"1996","ARIZONA","0.17"
"1997","ARIZONA","0.18"
"1998","ARIZONA","0.2"
"1999","ARIZONA","0.02"
"2000","ARIZONA","0.0"
"2001","ARIZONA","0.02"
"2002","ARIZONA","0.0"
"2003","ARIZONA","0.0"
"1928","ARKANSAS","481.77"
"1929","ARKANSAS","67.22"
"1930","ARKANSAS","53.44"
"1931","ARKANSAS","45.91"
"1932","ARKANSAS","5.33"
"1933","ARKANSAS","293.32"
"1934","ARKANSAS","384.57"
"1935","ARKANSAS","80.33"
"1936","ARKANSAS","5.66"
"1937","ARKANSAS","16.98"
"1938","ARKANSAS","356.73"
"1939","ARKANSAS","123.51"
"1940","ARKANSAS","72.0"
"1941","ARKANSAS","273.89"
"1942","ARKANSAS","232.7"
"1943","ARKANSAS","162.6"
"1944","ARKANSAS","207.51"
"1945","ARKANSAS","69.5"
"1946","ARKANSAS","168.47"
"1947","ARKANSAS","130.61"
"1948","ARKANSAS","208.3"
"1949","ARKANSAS","667.72"
"1950","ARKANSAS","91.12"
"1951","ARKANSAS","401.09"
"1952","ARKANSAS","188.55"
"1953","ARKANSAS","727.41"
"1954","ARKANSAS","151.03"
"1955","ARKANSAS","173.54"
"1956","ARKANSAS","506.86"
"1957","ARKANSAS","78.41"
"1958","ARKANSAS","173.95"
"1959","ARKANSAS","46.49"
"1960","ARKANSAS","89.24"
"1961","ARKANSAS","93.26"
"1962","ARKANSAS","77.61"
"1963","ARKANSAS","77.5"
"1964","ARKANSAS","58.28"
"1965","ARKANSAS","63.08"
"1966","ARKANSAS","72.49"
"1967","ARKANSAS","66.76"
"1968","ARKANSAS","0.15"
"1969","ARKANSAS","1.51"
"1970","ARKANSAS","1.66"
"1971","ARKANSAS","21.91"
"1972","ARKANSAS","0.65"
"1973","ARKANSAS","3.71"
"1974","ARKANSAS","0.66"
"1975","ARKANSAS","0.1"
"1976","ARKANSAS","0.91"
"1977","ARKANSAS","2.04"
"1978","ARKANSAS","0.96"
"1979","ARKANSAS","0.47"
"1980","ARKANSAS","0.76"
"1981","ARKANSAS","0.59"
"1982","ARKANSAS","0.0"
"1983","ARKANSAS","0.04"
"1984","ARKANSAS","0.38"
"1985","ARKANSAS","0.0"
"1986","ARKANSAS","12.21"
"1987","ARKANSAS","0.0"
"1988","ARKANSAS","0.0"
"1989","ARKANSAS","0.21"
"1990","ARKANSAS","1.74"
"1991","ARKANSAS","0.0"
"1992","ARKANSAS","0.0"
"1993","ARKANSAS","0.0"
"1994","ARKANSAS","0.0"
"1995","ARKANSAS","0.08"
"1996","ARKANSAS","0.0"
"1997","ARKANSAS","0.12"
"1998","ARKANSAS","0.0"
"1999","ARKANSAS","0.16"
"2000","ARKANSAS","0.04"
"2001","ARKANSAS","0.0"
"2002","ARKANSAS","0.0"
"2003","ARKANSAS","0.0"
"1928","CALIFORNIA","69.22"
"1929","CALIFORNIA","72.8"
"1930","CALIFORNIA","760.24"
"1931","CALIFORNIA","477.48"
"1932","CALIFORNIA","214.08"
"1933","CALIFORNIA","445.28"
"1934","CALIFORNIA","423.26"
"1935","CALIFORNIA","466.38"
"1936","CALIFORNIA","773.54"
"1937","CALIFORNIA","78.26"
"1938","CALIFORNIA","278.32"
"1939","CALIFORNIA","939.48"
"1940","CALIFORNIA","376.44"
"1941","CALIFORNIA","174.42"
"1942","CALIFORNIA","1222.01"
"1943","CALIFORNIA","340.06"
"1944","CALIFORNIA","599.97"
"1945","CALIFORNIA","339.44"
"1946","CALIFORNIA","575.16"
"1947","CALIFORNIA","74.98"
"1948","CALIFORNIA","487.91"
"1949","CALIFORNIA","320.82"
"1950","CALIFORNIA","137.92"
"1951","CALIFORNIA","548.36"
"1952","CALIFORNIA","335.25"
"1953","CALIFORNIA","438.91"
"1954","CALIFORNIA","473.05"
"1955","CALIFORNIA","513.46"
"1956","CALIFORNIA","235.21"
"1957","CALIFORNIA","353.35"
"1958","CALIFORNIA","235.72"
"1959","CALIFORNIA","251.82"
"1960","CALIFORNIA","140.03"
"1961","CALIFORNIA","223.42"
"1962","CALIFORNIA","164.86"
"1963","CALIFORNIA","113.36"
"1964","CALIFORNIA","179.9"
"1965","CALIFORNIA","74.6"
"1966","CALIFORNIA","80.59"
"1967","CALIFORNIA","27.45"
"1968","CALIFORNIA","8.49"
"1969","CALIFORNIA","4.57"
"1970","CALIFORNIA","9.55"
"1971","CALIFORNIA","13.88"
"1972","CALIFORNIA","15.43"
"1973","CALIFORNIA","3.82"
"1974","CALIFORNIA","5.14"
"1975","CALIFORNIA","23.78"
"1976","CALIFORNIA","10.41"
"1977","CALIFORNIA","34.75"
"1978","CALIFORNIA","2.81"
"1979","CALIFORNIA","4.08"
"1980","CALIFORNIA","3.65"
"1981","CALIFORNIA","1.4"
"1982","CALIFORNIA","3.16"
"1983","CALIFORNIA","0.59"
"1984","CALIFORNIA","1.2"
"1985","CALIFORNIA","0.92"
"1986","CALIFORNIA","1.52"
"1987","CALIFORNIA","2.68"
"1988","CALIFORNIA","2.48"
"1989","CALIFORNIA","7.34"
"1990","CALIFORNIA","31.99"
"1991","CALIFORNIA","6.49"
"1992","CALIFORNIA","0.19"
"1993","CALIFORNIA","0.18"
"1994","CALIFORNIA","0.19"
"1995","CALIFORNIA","0.09"
"1996","CALIFORNIA","0.11"
"1997","CALIFORNIA","0.09"
"1998","CALIFORNIA","0.0"
"1999","CALIFORNIA","0.06"
"2000","CALIFORNIA","0.03"
"2001","CALIFORNIA","0.11"
"2002","CALIFORNIA","0.0"
"2003","CALIFORNIA","0.0"
"1928","COLORADO","206.98"
"1929","COLORADO","74.24"
"1930","COLORADO","1132.76"
"1931","COLORADO","453.27"
"1932","COLORADO","222.9"
"1933","COLORADO","27.69"
"1934","COLORADO","1204.25"
"1935","COLORADO","1186.07"
"1936","COLORADO","54.74"
"1937","COLORADO","93.0"
"1938","COLORADO","823.71"
"1939","COLORADO","525.21"
"1940","COLORADO","231.8"
"1941","COLORADO","661.75"
"1942","COLORADO","505.49"
"1943","COLORADO","976.97"
"1944","COLORADO","556.49"
"1945","COLORADO","95.91"
"1946","COLORADO","992.74"
"1947","COLORADO","142.93"
"1948","COLORADO","723.28"
"1949","COLORADO","557.61"
"1950","COLORADO","395.37"
"1951","COLORADO","934.02"
"1952","COLORADO","386.92"
"1953","COLORADO","684.0"
"1954","COLORADO","127.66"
"1955","COLORADO","317.08"
"1956","COLORADO","873.22"
"1957","COLORADO","173.47"
"1958","COLORADO","566.11"
"1959","COLORADO","411.5"
"1960","COLORADO","384.73"
"1961","COLORADO","210.35"
"1962","COLORADO","474.0"
"1963","COLORADO","325.28"
"1964","COLORADO","164.43"
"1965","COLORADO","302.7"
"1966","COLORADO","72.0"
"1967","COLORADO","79.64"
"1968","COLORADO","23.54"
"1969","COLORADO","6.43"
"1970","COLORADO","10.41"
"1971","COLORADO","37.17"
"1972","COLORADO","20.88"
"1973","COLORADO","6.55"
"1974","COLORADO","6.13"
"1975","COLORADO","44.44"
"1976","COLORADO","16.67"
"1977","COLORADO","15.7"
"1978","COLORADO","1.8"
"1979","COLORADO","2.48"
"1980","COLORADO","0.77"
"1981","COLORADO","0.25"
"1982","COLORADO","0.22"
"1983","COLORADO","0.0"
"1984","COLORADO","0.0"
"1985","COLORADO","0.27"
"1986","COLORADO","0.15"
"1987","COLORADO","0.27"
"1988","COLORADO","3.53"
"1989","COLORADO","3.02"
"1990","COLORADO","4.17"
"1991","COLORADO","0.33"
"1992","COLORADO","0.64"
"1993","COLORADO","0.0"
"1994","COLORADO","0.54"
"1995","COLORADO","0.68"
"1996","COLORADO","0.21"
"1997","COLORADO","0.72"
"1998","COLORADO","0.0"
"1999","COLORADO","0.0"
"2000","COLORADO","0.06"
"2001","COLORADO","0.0"
"2002","COLORADO","0.0"
"2003","COLORADO","0.0"
"1928","CONNECTICUT","634.95"
"1929","CONNECTICUT","614.82"
"1930","CONNECTICUT","112.23"
"1931","CONNECTICUT","790.46"
"1932","CONNECTICUT","348.27"
"1933","CONNECTICUT","330.66"
"1934","CONNECTICUT","282.35"
"1935","CONNECTICUT","1449.49"
"1936","CONNECTICUT","228.97"
"1937","CONNECTICUT","606.76"
"1938","CONNECTICUT","107.56"
"1939","CONNECTICUT","937.54"
"1940","CONNECTICUT","376.52"
"1941","CONNECTICUT","364.57"
"1942","CONNECTICUT","587.88"
"1943","CONNECTICUT","550.38"
"1944","CONNECTICUT","493.5"
"1945","CONNECTICUT","170.2"
"1946","CONNECTICUT","397.91"
"1947","CONNECTICUT","814.92"
"1948","CONNECTICUT","140.62"
"1949","CONNECTICUT","935.63"
"1950","CONNECTICUT","197.45"
"1951","CONNECTICUT","227.43"
"1952","CONNECTICUT","1179.01"
"1953","CONNECTICUT","99.99"
"1954","CONNECTICUT","223.47"
"1955","CONNECTICUT","1256.63"
"1956","CONNECTICUT","116.46"
"1957","CONNECTICUT","409.99"
"1958","CONNECTICUT","645.65"
"1959","CONNECTICUT","516.46"
"1960","CONNECTICUT","434.62"
"1961","CONNECTICUT","261.76"
"1962","CONNECTICUT","672.06"
"1963","CONNECTICUT","214.81"
"1964","CONNECTICUT","189.03"
"1965","CONNECTICUT","322.89"
"1966","CONNECTICUT","32.51"
"1967","CONNECTICUT","3.57"
"1968","CONNECTICUT","23.82"
"1969","CONNECTICUT","21.39"
"1970","CONNECTICUT","3.82"
"1971","CONNECTICUT","38.91"
"1972","CONNECTICUT","50.08"
"1973","CONNECTICUT","59.17"
"1974","CONNECTICUT","5.6"
"1975","CONNECTICUT","4.16"
"1976","CONNECTICUT","7.64"
"1977","CONNECTICUT","25.02"
"1978","CONNECTICUT","17.04"
"1979","CONNECTICUT","0.12"
"1980","CONNECTICUT","0.85"
"1981","CONNECTICUT","0.27"
"1982","CONNECTICUT","0.24"
"1983","CONNECTICUT","0.0"
"1984","CONNECTICUT","0.31"
"1985","CONNECTICUT","0.18"
"1986","CONNECTICUT","0.27"
"1987","CONNECTICUT","0.66"
"1988","CONNECTICUT","0.51"
"1989","CONNECTICUT","6.53"
"1990","CONNECTICUT","5.7"
"1991","CONNECTICUT","0.69"
"1992","CONNECTICUT","0.06"
"1993","CONNECTICUT","0.18"
"1994","CONNECTICUT","0.12"
"1995","CONNECTICUT","0.03"
"1996","CONNECTICUT","0.03"
"1997","CONNECTICUT","0.0"
"1998","CONNECTICUT","0.0"
"1999","CONNECTICUT","0.0"
"2000","CONNECTICUT","0.0"
"2001","CONNECTICUT","0.0"
"2002","CONNECTICUT","0.0"
"2003","CONNECTICUT","0.0"
"1928","DELAWARE","256.02"
"1929","DELAWARE","239.82"
"1930","DELAWARE","109.25"
"1931","DELAWARE","1003.28"
"1932","DELAWARE","15.98"
"1933","DELAWARE","82.68"
"1934","DELAWARE","1225.2"
"1935","DELAWARE","412.7"
"1936","DELAWARE","555.96"
"1937","DELAWARE","707.1"
"1938","DELAWARE","236.02"
"1939","DELAWARE","94.63"
"1940","DELAWARE","36.04"
"1941","DELAWARE","1268.35"
"1942","DELAWARE","90.16"
"1943","DELAWARE","564.55"
"1944","DELAWARE","138.4"
"1945","DELAWARE","96.86"
"1946","DELAWARE","198.98"
"1947","DELAWARE","19.41"
"1948","DELAWARE","333.13"
"1949","DELAWARE","234.53"
"1950","DELAWARE","194.7"
"1951","DELAWARE","208.42"
"1952","DELAWARE","119.34"
"1953","DELAWARE","115.88"
"1954","DELAWARE","527.67"
"1955","DELAWARE","26.98"
"1956","DELAWARE","212.31"
"1957","DELAWARE","78.13"
"1958","DELAWARE","118.9"
"1959","DELAWARE","139.7"
"1960","DELAWARE","212.92"
"1961","DELAWARE","368.35"
"1962","DELAWARE","129.42"
"1963","DELAWARE","248.69"
"1964","DELAWARE","79.26"
"1965","DELAWARE","102.38"
"1966","DELAWARE","51.14"
"1967","DELAWARE","10.64"
"1968","DELAWARE","4.51"
"1969","DELAWARE","93.73"
"1970","DELAWARE","47.46"
"1971","DELAWARE","7.27"
"1972","DELAWARE","9.66"
"1973","DELAWARE","1.71"
"1974","DELAWARE","2.72"
"1975","DELAWARE","5.94"
"1976","DELAWARE","18.8"
"1977","DELAWARE","1.18"
"1978","DELAWARE","1.87"
"1979","DELAWARE","0.17"
"1980","DELAWARE","0.68"
"1981","DELAWARE","0.0"
"1982","DELAWARE","0.0"
"1983","DELAWARE","0.0"
"1984","DELAWARE","0.0"
"1985","DELAWARE","0.0"
"1986","DELAWARE","0.16"
"1987","DELAWARE","3.09"
"1988","DELAWARE","0.0"
"1989","DELAWARE","5.4"
"1990","DELAWARE","1.35"
"1991","DELAWARE","2.81"
"1992","DELAWARE","0.42"
"1993","DELAWARE","0.28"
"1994","DELAWARE","0.0"
"1995","DELAWARE","0.0"
"1996","DELAWARE","0.13"
"1997","DELAWARE","0.0"
"1998","DELAWARE","0.0"
"1999","DELAWARE","0.0"
"2000","DELAWARE","0.0"
"2001","DELAWARE","0.0"
"2002","DELAWARE","0.0"
"2003","DELAWARE","0.0"
"1928","DISTRICT OF COLUMBIA","535.63"
"1929","DISTRICT OF COLUMBIA","94.2"
"1930","DISTRICT OF COLUMBIA","182.1"
"1931","DISTRICT OF COLUMBIA","832.99"
"1932","DISTRICT OF COLUMBIA","53.14"
"1933","DISTRICT OF COLUMBIA","100.8"
"1934","DISTRICT OF COLUMBIA","1137.49"
"1935","DISTRICT OF COLUMBIA","152.73"
"1936","DISTRICT OF COLUMBIA","335.59"
"1937","DISTRICT OF COLUMBIA","333.27"
"1938","DISTRICT OF COLUMBIA","115.59"
"1939","DISTRICT OF COLUMBIA","497.42"
"1940","DISTRICT OF COLUMBIA","126.99"
"1941","DISTRICT OF COLUMBIA","488.19"
"1942","DISTRICT OF COLUMBIA","190.76"
"1943","DISTRICT OF COLUMBIA","234.27"
"1944","DISTRICT OF COLUMBIA","310.09"
"1945","DISTRICT OF COLUMBIA","39.59"
"1946","DISTRICT OF COLUMBIA","465.92"
"1947","DISTRICT OF COLUMBIA","60.15"
"1948","DISTRICT OF COLUMBIA","305.05"
"1949","DISTRICT OF COLUMBIA","278.56"
"1950","DISTRICT OF COLUMBIA","213.51"
"1951","DISTRICT OF COLUMBIA","185.16"
"1952","DISTRICT OF COLUMBIA","286.17"
"1953","DISTRICT OF COLUMBIA","44.05"
"1954","DISTRICT OF COLUMBIA","383.3"
"1955","DISTRICT OF COLUMBIA","57.69"
"1956","DISTRICT OF COLUMBIA","210.28"
"1957","DISTRICT OF COLUMBIA","114.82"
"1958","DISTRICT OF COLUMBIA","187.57"
"1959","DISTRICT OF COLUMBIA","52.17"
"1960","DISTRICT OF COLUMBIA","158.16"
"1961","DISTRICT OF COLUMBIA","47.09"
"1962","DISTRICT OF COLUMBIA","89.2"
"1963","DISTRICT OF COLUMBIA","27.76"
"1964","DISTRICT OF COLUMBIA","43.14"
"1965","DISTRICT OF COLUMBIA","19.76"
"1966","DISTRICT OF COLUMBIA","49.3"
"1967","DISTRICT OF COLUMBIA","3.46"
"1968","DISTRICT OF COLUMBIA","0.78"
"1969","DISTRICT OF COLUMBIA","5.89"
"1970","DISTRICT OF COLUMBIA","46.0"
"1971","DISTRICT OF COLUMBIA","2.12"
"1972","DISTRICT OF COLUMBIA","0.27"
"1973","DISTRICT OF COLUMBIA","1.4"
"1974","DISTRICT OF COLUMBIA","0.14"
"1975","DISTRICT OF COLUMBIA","0.28"
"1976","DISTRICT OF COLUMBIA","1.94"
"1977","DISTRICT OF COLUMBIA","2.1"
"1978","DISTRICT OF COLUMBIA","0.3"
"1979","DISTRICT OF COLUMBIA","0.16"
"1980","DISTRICT OF COLUMBIA","0.79"
"1981","DISTRICT OF COLUMBIA","0.32"
"1982","DISTRICT OF COLUMBIA","0.16"
"1983","DISTRICT OF COLUMBIA","0.0"
"1984","DISTRICT OF COLUMBIA","0.0"
"1985","DISTRICT OF COLUMBIA","4.39"
"1986","DISTRICT OF COLUMBIA","0.0"
"1987","DISTRICT OF COLUMBIA","0.0"
"1988","DISTRICT OF COLUMBIA","0.0"
"1989","DISTRICT OF COLUMBIA","6.74"
"1990","DISTRICT OF COLUMBIA","3.66"
"1991","DISTRICT OF COLUMBIA","0.0"
"1992","DISTRICT OF COLUMBIA","0.33"
"1993","DISTRICT OF COLUMBIA","0.0"
"1994","DISTRICT OF COLUMBIA","0.0"
"1995","DISTRICT OF COLUMBIA","0.0"
"1996","DISTRICT OF COLUMBIA","0.0"
"1997","DISTRICT OF COLUMBIA","0.35"
"1998","DISTRICT OF COLUMBIA","0.0"
"1999","DISTRICT OF COLUMBIA","0.0"
"2000","DISTRICT OF COLUMBIA","0.0"
"2001","DISTRICT OF COLUMBIA","0.0"
"2002","DISTRICT OF COLUMBIA","0.0"
"2003","DISTRICT OF COLUMBIA","0.0"
"1928","FLORIDA","119.58"
"1929","FLORIDA","78.01"
"1930","FLORIDA","356.59"
"1931","FLORIDA","260.79"
"1932","FLORIDA","13.63"
"1933","FLORIDA","63.93"
"1934","FLORIDA","505.65"
"1935","FLORIDA","72.77"
"1936","FLORIDA","18.22"
"1937","FLORIDA","23.08"
"1938","FLORIDA","517.83"
"1939","FLORIDA","157.53"
"1940","FLORIDA","114.19"
"1941","FLORIDA","459.76"
"1942","FLORIDA","189.61"
"1943","FLORIDA","68.57"
"1944","FLORIDA","189.74"
"1945","FLORIDA","39.63"
"1946","FLORIDA","116.89"
"1947","FLORIDA","53.1"
"1948","FLORIDA","152.39"
"1949","FLORIDA","144.03"
"1950","FLORIDA","83.43"
"1951","FLORIDA","76.21"
"1952","FLORIDA","109.99"
"1953","FLORIDA","38.5"
"1954","FLORIDA","312.27"
"1955","FLORIDA","38.04"
"1956","FLORIDA","127.23"
"1957","FLORIDA","120.36"
"1958","FLORIDA","266.67"
"1959","FLORIDA","74.68"
"1960","FLORIDA","74.46"
"1961","FLORIDA","127.69"
"1962","FLORIDA","76.09"
"1963","FLORIDA","66.69"
"1964","FLORIDA","121.55"
"1965","FLORIDA","62.29"
"1966","FLORIDA","64.38"
"1967","FLORIDA","28.92"
"1968","FLORIDA","8.94"
"1969","FLORIDA","9.27"
"1970","FLORIDA","20.19"
"1971","FLORIDA","30.83"
"1972","FLORIDA","17.64"
"1973","FLORIDA","4.7"
"1974","FLORIDA","2.7"
"1975","FLORIDA","0.94"
"1976","FLORIDA","3.78"
"1977","FLORIDA","3.3"
"1978","FLORIDA","11.6"
"1979","FLORIDA","6.2"
"1980","FLORIDA","4.04"
"1981","FLORIDA","2.89"
"1982","FLORIDA","2.01"
"1983","FLORIDA","1.48"
"1984","FLORIDA","0.16"
"1985","FLORIDA","0.99"
"1986","FLORIDA","3.38"
"1987","FLORIDA","0.72"
"1988","FLORIDA","1.32"
"1989","FLORIDA","1.6"
"1990","FLORIDA","2.87"
"1991","FLORIDA","2.21"
"1992","FLORIDA","0.3"
"1993","FLORIDA","0.2"
"1994","FLORIDA","0.16"
"1995","FLORIDA","0.06"
"1996","FLORIDA","0.0"
"1997","FLORIDA","0.06"
"1998","FLORIDA","0.01"
"1999","FLORIDA","0.01"
"2000","FLORIDA","0.02"
"2001","FLORIDA","0.0"
"2002","FLORIDA","0.01"
"2003","FLORIDA","0.0"
"1928","GEORGIA","159.73"
"1929","GEORGIA","40.63"
"1930","GEORGIA","153.21"
"1931","GEORGIA","104.39"
"1932","GEORGIA","34.36"
"1933","GEORGIA","156.88"
"1934","GEORGIA","774.78"
"1935","GEORGIA","1.05"
"1936","GEORGIA","0.27"
"1937","GEORGIA","0.0"
"1938","GEORGIA","299.92"
"1939","GEORGIA","115.95"
"1940","GEORGIA","93.84"
"1941","GEORGIA","294.12"
"1942","GEORGIA","168.74"
"1943","GEORGIA","126.45"
"1944","GEORGIA","171.51"
"1945","GEORGIA","27.53"
"1946","GEORGIA","117.11"
"1947","GEORGIA","102.39"
"1948","GEORGIA","37.8"
"1949","GEORGIA","288.7"
"1950","GEORGIA","62.42"
"1951","GEORGIA","213.03"
"1952","GEORGIA","225.42"
"1953","GEORGIA","86.49"
"1954","GEORGIA","188.04"
"1955","GEORGIA","68.18"
"1956","GEORGIA","128.9"
"1957","GEORGIA","155.66"
"1958","GEORGIA","175.18"
"1959","GEORGIA","11.54"
"1960","GEORGIA","5.53"
"1961","GEORGIA","10.24"
"1962","GEORGIA","10.19"
"1963","GEORGIA","4.78"
"1964","GEORGIA","4.92"
"1965","GEORGIA","15.1"
"1966","GEORGIA","5.59"
"1967","GEORGIA","0.96"
"1968","GEORGIA","0.08"
"1969","GEORGIA","0.04"
"1970","GEORGIA","0.36"
"1971","GEORGIA","23.59"
"1972","GEORGIA","3.56"
"1973","GEORGIA","1.02"
"1974","GEORGIA","0.06"
"1975","GEORGIA","0.78"
"1976","GEORGIA","0.1"
"1977","GEORGIA","14.41"
"1978","GEORGIA","1.06"
"1979","GEORGIA","10.14"
"1980","GEORGIA","15.19"
"1981","GEORGIA","1.95"
"1982","GEORGIA","0.0"
